# Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0	0	1	2	2	1	1	2	1	2	0
1	1	2	1	0	2	0	2	0	1	2
2	2	1	0	0	1	2	1	2	1	2
3	0	1	2	0	2	2	2	0	0	2
4	2	2	2	0	1	1	2	0	1	2
5	2	1	2	0	1	2	1	2	2	0
6	1	0	0	0	1	1	2	0	0	0
7	1	2	1	0	1	0	1	1	1	1
8	0	0	1	0	1	2	0	2	1	2
9	0	0	0	1	0	0	0	1	1	2
10	1	2	0	1	0	0	0	1	0	0
11	1	2	2	1	0	0	0	2	1	1
12	0	1	0	1	2	2	0	2	1	0
13	1	1	0	1	2	0	2	0	1	0
14	1	0	0	0	1	2	2	0	1	1
15	1	1	2	0	1	2	1	1	1	1
16	0	0	2	0	0	2	2	0	1	0
17	1	2	2	0	1	0	1	1	1	2
18	1	1	1	0	0	2	1	2	1	0
19	1	0	2	0	2	2	2	0	1	2
20	2	2	2	0	1	2	0	1	1	0
21	1	0	0	1	1	2	0	2	0	0
22	1	1	1	1	2	0	1	1	1	1
23	0	0	1	0	1	2	2	0	1	2
24	2	1	2	0	1	0	0	1	1	2
25	1	1	0	1	1	2	2	0	1	0
26	1	1	2	0	1	2	2	0	1	1
27	1	2	2	0	1	2	2	0	1	0
28	1	2	2	0	1	2	0	2	1	0
29	1	0	0	1	2	2	0	2	1	0
30	1	1	0	1	2	2	1	1	1	1
31	0	0	2	0	1	2	2	0	1	1
32	1	2	2	0	1	0	1	1	1	2
33	1	1	1	0	0	2	1	2	1	0
34	1	0	2	0	2	2	2	0	1	2
35	2	2	2	0	1	2	0	1	1	0
36	1	0	0	1	1	2	0	2	0	0
37	1	1	1	1	2	0	1	1	1	1
38	0	0	1	0	1	2	2	0	1	2
39	2	1	2	0	1	0	0	1	1	2
40	1	1	0	1	1	2	2	0	1	0
41	1	1	2	0	1	2	2	0	1	1
42	1	2	2	0	1	2	2	0	1	0
43	1	2	2	0	1	2	0	2	1	0
44	1	0	0	1	2	2	0	2	1	0
45	1	1	0	1	2	2	1	1	1	1
46	0	0	2	0	1	2	2	0	1	1
47	1	2	2	0	1	0	1	1	1	2
48	1	1	1	0	0	2	1	2	1	0
49	1	0	2	0	2	2	2	0	1	2
